hex_id,x,y,land,building,parking,type,floor_ratio,t_floor,room,living_room,bathroom,partition,class,area,nimby,crime,school,green,trans,medical,rich_poor_gap,income_median,urban_index,a65_a0a14_rat,mean_rent,district,age,ping,pred_ping,diff
894ba0a580fffff,121.5426350764663,24.98999870148953,1.0,1.0,0.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,7.202,1.0,8.0,0.0,1.0,4.0,5.0,3.702661583451393e-7,63.0655977,0.8766219253524274,87.176,1651.322,0.80751,25.237,81.63838390000001,72.55339369422768,-9.084990205772328
894ba0a4c73ffff,121.56440396866036,25.048202008497057,1.0,1.0,0.0,5.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,29.66,0.0,3.0,0.0,0.0,4.0,4.0,8.007614464686976e-8,57.082798800000006,1.2637103126940268,237.123,1753.813,0.15267,37.078,42.14432188,61.92024410736397,19.77592222736397
894ba1d3607ffff,121.59607792347488,25.08025369377819,1.0,1.0,0.0,1.0,0.438,16.0,3.0,2.0,2.0,1.0,1.0,32.7,0.0,3.0,0.0,1.0,6.0,0.0,-2.048487533145513e-6,64.8994169,1.3570544322769913,163.606,1622.841,0.58423,25.0,70.03039778,73.47772945387473,3.4473316738747286
894ba0a488fffff,121.57550697288268,25.043767017798388,1.0,1.0,0.0,5.0,0.25,4.0,3.0,3.0,2.0,1.0,1.0,29.288,1.0,10.0,0.0,1.0,4.0,27.0,3.1927568524608998e-6,50.2653061,1.123431180259538,292.618,1819.032,0.40066,27.0,97.65134852,78.67106318478477,-18.98028533521523
894ba0a458bffff,121.52052898030752,25.063965979527666,1.0,1.0,0.0,1.0,0.214,14.0,1.0,1.0,1.0,1.0,1.0,13.455,2.0,13.0,0.0,2.0,8.0,18.0,1.0610001943247133e-7,57.57813410000001,1.3439455690375333,160.113,1960.675,0.31615,38.935,84.7260011,94.29961544732859,9.573614347328586
894ba0a41dbffff,121.52884097841049,25.047815016027457,1.0,1.0,0.0,2.0,0.5,6.0,2.0,1.0,1.0,1.0,1.0,10.463,0.0,9.0,1.0,2.0,9.0,7.0,-2.155819849941342e-6,65.1778426,1.3095012523362453,261.818,1808.862,0.31615,29.75,76.45687298,75.39246769921006,-1.0644052807899413
894ba0a4173ffff,121.54104796310004,25.042142018229768,3.0,1.0,0.0,2.0,1.0,6.0,3.0,2.0,2.0,1.0,1.0,34.391,0.0,4.0,1.0,0.0,3.0,10.0,-1.9893619502004044e-6,62.32507290000001,1.259315372838953,403.404,1945.965,0.0,42.345,81.41656472000001,84.18417773082474,2.767613010824732
894ba0a55afffff,121.49583002622046,25.01946498873619,1.0,1.0,0.0,5.0,0.25,4.0,4.0,1.0,2.0,1.0,1.0,23.456,0.0,13.0,0.0,0.0,3.0,8.0,6.430464416096606e-6,43.6,0.8758391766346513,286.504,1183.758,1.0,35.656,61.81846,56.74325657306313,-5.0752034269368735
894ba0a452bffff,121.53188997950956,25.057367996805056,1.0,1.0,1.0,2.0,0.833,6.0,0.0,0.0,0.0,0.0,1.0,32.576,3.0,3.0,0.0,3.0,7.0,19.0,1.5819094927027428e-7,57.8309038,1.344965233176035,208.138,2045.902,0.31615,38.953,92.98950936,80.99078184415943,-11.99872751584057
894ba0a4803ffff,121.57704396246794,25.03926798935946,1.0,1.0,1.0,1.0,0.917,12.0,3.0,2.0,2.0,1.0,1.0,38.95,2.0,11.0,0.0,0.0,11.0,49.0,-2.3419568285089227e-7,60.8049563,1.123431180259538,220.554,1941.135,0.40066,28.718,88.5689936,75.38042153679478,-13.188572063205214
894ba0a6943ffff,121.5714979924129,25.08561999773869,3.0,1.0,0.0,5.0,1.0,5.0,6.0,2.0,3.0,1.0,1.0,26.039,0.0,1.0,0.0,0.0,2.0,0.0,-4.830409687541908e-7,62.0588921,1.3570544322769913,94.935,1764.5,0.58423,19.0,51.07692406,54.27741468067994,3.200490620679936
