hex_id,x,y,land,building,parking,type,floor_ratio,t_floor,room,living_room,bathroom,partition,class,area,nimby,crime,school,green,trans,medical,rich_poor_gap,income_median,urban_index,a65_a0a14_rat,district,age,mean_rent,pred_rent,diff
894ba0a6177ffff,121.52121696692018,25.090117014520857,1.0,1.0,1.0,2.0,0.333,9.0,3.0,2.0,1.0,1.0,1.0,50.194,0.0,1.0,0.0,1.0,5.0,7.0,5.975327536444263e-7,55.6895044,0.9819666023739572,398.716,0.65284,21.036,1546.079,1549.7579247045978,3.6789247045978755
894ba0a442fffff,121.51414297591624,25.05180299982977,18.0,1.0,0.0,1.0,0.8,15.0,2.0,2.0,2.0,1.0,0.0,24.257,1.0,13.0,0.0,1.0,7.0,10.0,2.247049831614324e-6,51.670845500000006,1.0450340557612128,209.747,0.52195,29.363,1938.405,1942.3099742345642,3.904974234564179
894ba0a6a63ffff,121.55220100728434,25.059530988829,1.0,1.0,0.0,5.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,44.861,0.0,1.0,1.0,4.0,5.0,6.0,-4.318262036602914e-6,74.790379,1.3448001818961128,156.17,0.15267,41.676,2105.745,2092.961926149105,-12.783073850895107
894ba0a4167ffff,121.54555801374164,25.041806993559845,1.0,1.0,0.0,1.0,1.0,11.0,2.0,3.0,3.0,1.0,1.0,44.715,0.0,8.0,0.0,1.0,6.0,37.0,-8.346094360566096e-6,80.3081633,1.259315372838953,219.588,0.0,40.541,2274.948,2268.4552199144086,-6.492780085591221
894ba0a5867ffff,121.54772800465474,24.987741999788085,1.0,1.0,2.0,1.0,0.909,11.0,2.0,2.0,2.0,1.0,1.0,51.11,0.0,2.0,0.0,1.0,0.0,0.0,-2.7769829895012975e-7,60.8463557,0.8774845922316181,193.483,0.80751,32.856,1459.358,1458.8230260154035,-0.5349739845964905
894ba0a4c6fffff,121.56752103081324,25.042671000139165,1.0,1.0,0.0,5.0,0.5,4.0,3.0,2.0,2.0,1.0,1.0,28.429,1.0,2.0,0.0,2.0,8.0,11.0,2.1101552915711085e-7,60.017492700000005,1.123431180259538,212.929,0.40066,18.727,2272.676,2282.2152121425233,9.53921214252341
894ba1d364fffff,121.59015770144303,25.06876839095203,1.0,1.0,1.0,1.0,0.429,14.0,2.0,2.0,1.0,1.0,1.0,40.151,0.0,6.0,1.0,4.0,6.0,2.0,-2.765676367489118e-6,69.644898,1.3570544322769913,179.675,0.58423,31.116,1731.728,1730.567651816196,-1.1603481838039897
894ba0a4673ffff,121.49473199690448,25.03084602068684,1.0,1.0,0.0,5.0,0.25,4.0,0.0,2.0,1.0,1.0,1.0,22.899,1.0,16.0,1.0,2.0,2.0,3.0,5.564123776274145e-6,44.280758000000006,0.8758391766346513,266.643,1.0,42.73,1411.261,1413.4579515101602,2.196951510160261
894ba569263ffff,121.52955402691362,25.10700101736328,4.0,1.0,0.0,5.0,0.8,5.0,3.0,2.0,2.0,1.0,1.0,35.132,0.0,7.0,0.0,2.0,4.0,12.0,-4.2663356085593524e-8,61.1358601,0.9819666023739572,202.269,0.65284,29.227,1815.424,1815.349674700059,-0.07432529994093784
894ba0a488bffff,121.57284094093968,25.043954479062904,1.0,1.0,0.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,9.807,2.0,11.0,0.0,2.0,5.0,7.0,2.752810835216721e-6,51.445481,1.123431180259538,247.399,0.40066,26.554,2146.439,2135.195656971053,-11.243343028947038
